Timestamp,load.avg_1_min
1472723514.0,0.73
1472723544.0,1.23
1472723574.0,1.4
1472723604.0,1.5
1472723634.0,1.24
1472723664.0,1.17
1472723694.0,1.44
1472723724.0,1.3
1472723754.0,1.58
1472723784.0,1.32
1472723814.0,1.08
1472723844.0,1.0
1472723874.0,0.77
1472723904.0,0.62
1472723934.0,0.83
1472723964.0,0.92
1472723994.0,1.07
1472724024.0,1.19
1472724054.0,1.1
1472724084.0,1.09
1472724114.0,1.45
1472724144.0,1.51
1472724174.0,1.7
1472724204.0,1.76
1472724234.0,1.59
1472724264.0,1.56
1472724294.0,1.48
1472724324.0,1.57
1472724354.0,1.24
1472724384.0,1.47
1472724414.0,1.39
1472724444.0,1.36
1472724474.0,0.82
1472724504.0,0.75
1472724534.0,0.9
1472724564.0,0.6
1472724594.0,0.8
1472724624.0,0.83
1472724654.0,0.89
1472724684.0,1.03
1472724714.0,1.09
1472724744.0,1.4
1472724774.0,1.64
1472724804.0,1.78
1472724834.0,1.87
1472724864.0,1.77
1472724894.0,1.94
1472724924.0,2.1
1472724954.0,1.86
1472724984.0,1.92
1472725014.0,2.0
1472725044.0,1.84
1472725074.0,1.74
1472725104.0,1.79
1472725134.0,1.63
1472725164.0,1.39
1472725194.0,1.1
1472725224.0,1.2
1472725254.0,1.4
1472725284.0,1.13
1472725314.0,1.39
1472725344.0,1.47
1472725374.0,1.68
1472725404.0,1.81
1472725434.0,1.88
1472725464.0,1.99
1472725494.0,1.99
1472725524.0,1.85
1472725554.0,2.06
1472725584.0,2.04
1472725614.0,1.96
1472725644.0,1.97
1472725674.0,1.68
1472725704.0,1.57
1472725734.0,1.29
1472725764.0,0.91
1472725794.0,0.7
1472725824.0,0.65
1472725854.0,0.53
1472725884.0,0.47
1472725914.0,0.57
1472725944.0,0.75
1472725974.0,1.07
1472726004.0,1.39
1472726034.0,1.68
1472726064.0,1.7
1472726094.0,1.58
1472726124.0,1.65
1472726154.0,1.71
1472726184.0,1.65
1472726214.0,1.38
1472726244.0,1.25
1472726274.0,0.91
1472726304.0,1.09
1472726334.0,1.07
1472726364.0,0.81
1472726394.0,0.81
1472726424.0,0.87
1472726454.0,0.64
1472726484.0,0.54
1472726514.0,0.61
1472726544.0,0.97
1472726574.0,0.88
1472726604.0,1.22
1472726634.0,1.52
1472726664.0,1.71
1472726694.0,1.7
1472726724.0,1.88
1472726754.0,1.79
1472726784.0,1.92
1472726814.0,1.81
1472726844.0,1.47
1472726874.0,1.34
1472726904.0,1.6
1472726934.0,1.61
1472726964.0,1.51
1472726994.0,1.04
1472727024.0,0.85
1472727054.0,0.52
1472727084.0,0.75
1472727114.0,0.75
1472727144.0,0.9
1472727174.0,0.82
1472727204.0,0.76
