,help,metrics,name,type
0,"TcpExt IPReversePathFilter from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_IPReversePathFilter,GAUGE
0,"TcpExt TCPSackShiftFallback from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPSackShiftFallback,GAUGE
0,Filesystem free space in bytes.,"{u'labels': {u'device': u'/dev/disk/by-uuid/64ecdf77-db7b-48a8-9066-abfb837f2e24', u'mountpoint': u'/', u'fstype': u'ext4'}, u'value': u'3.9943901184e+10'}",node_filesystem_free,GAUGE
1,Filesystem free space in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/run/lock', u'fstype': u'tmpfs'}, u'value': u'5.24288e+06'}",node_filesystem_free,GAUGE
2,Filesystem free space in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/run/shm', u'fstype': u'tmpfs'}, u'value': u'1.037008896e+09'}",node_filesystem_free,GAUGE
3,Filesystem free space in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/run/user', u'fstype': u'tmpfs'}, u'value': u'1.048576e+08'}",node_filesystem_free,GAUGE
4,Filesystem free space in bytes.,"{u'labels': {u'device': u'none', u'mountpoint': u'/vagrant', u'fstype': u'vboxsf'}, u'value': u'4.241481728e+10'}",node_filesystem_free,GAUGE
5,Filesystem free space in bytes.,"{u'labels': {u'device': u'rootfs', u'mountpoint': u'/', u'fstype': u'rootfs'}, u'value': u'3.9943901184e+10'}",node_filesystem_free,GAUGE
6,Filesystem free space in bytes.,"{u'labels': {u'device': u'rpc_pipefs', u'mountpoint': u'/run/rpc_pipefs', u'fstype': u'rpc_pipefs'}, u'value': u'0'}",node_filesystem_free,GAUGE
7,Filesystem free space in bytes.,"{u'labels': {u'device': u'tmpfs', u'mountpoint': u'/run', u'fstype': u'tmpfs'}, u'value': u'2.07015936e+08'}",node_filesystem_free,GAUGE
0,The total number of sectors read successfully.,"{u'labels': {u'device': u'sda'}, u'value': u'466238'}",node_disk_sectors_read,COUNTER
1,The total number of sectors read successfully.,"{u'labels': {u'device': u'sr0'}, u'value': u'0'}",node_disk_sectors_read,COUNTER
0,"Icmp InEchoReps from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_InEchoReps,GAUGE
0,Number of goroutines that currently exist.,{u'value': u'11'},go_goroutines,GAUGE
0,"TcpExt TCPSackShifted from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPSackShifted,GAUGE
0,"Icmp OutAddrMaskReps from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutAddrMaskReps,GAUGE
0,packets receive from /proc/net/dev.,"{u'labels': {u'device': u'eth0'}, u'value': u'17565'}",node_network_receive_packets,GAUGE
1,packets receive from /proc/net/dev.,"{u'labels': {u'device': u'eth1'}, u'value': u'0'}",node_network_receive_packets,GAUGE
2,packets receive from /proc/net/dev.,"{u'labels': {u'device': u'eth2'}, u'value': u'0'}",node_network_receive_packets,GAUGE
3,packets receive from /proc/net/dev.,"{u'labels': {u'device': u'eth3'}, u'value': u'0'}",node_network_receive_packets,GAUGE
4,packets receive from /proc/net/dev.,"{u'labels': {u'device': u'lo'}, u'value': u'0'}",node_network_receive_packets,GAUGE
0,"Tcp InSegs from /proc/net/{netstat,snmp}.",{u'value': u'17294'},node_netstat_Tcp_InSegs,GAUGE
0,Dirty from /proc/meminfo.,{u'value': u'0'},node_memory_Dirty,GAUGE
0,"TcpExt TCPForwardRetrans from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPForwardRetrans,GAUGE
0,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'guest', u'cpu': u'cpu0'}, u'value': u'0'}",node_cpu,COUNTER
1,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'idle', u'cpu': u'cpu0'}, u'value': u'8747.87'}",node_cpu,COUNTER
2,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'iowait', u'cpu': u'cpu0'}, u'value': u'8.14'}",node_cpu,COUNTER
3,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'irq', u'cpu': u'cpu0'}, u'value': u'3.8'}",node_cpu,COUNTER
4,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'nice', u'cpu': u'cpu0'}, u'value': u'0'}",node_cpu,COUNTER
5,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'softirq', u'cpu': u'cpu0'}, u'value': u'0'}",node_cpu,COUNTER
6,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'steal', u'cpu': u'cpu0'}, u'value': u'0'}",node_cpu,COUNTER
7,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'system', u'cpu': u'cpu0'}, u'value': u'19.63'}",node_cpu,COUNTER
8,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'user', u'cpu': u'cpu0'}, u'value': u'17.45'}",node_cpu,COUNTER
9,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'guest', u'cpu': u'cpu1'}, u'value': u'0'}",node_cpu,COUNTER
10,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'idle', u'cpu': u'cpu1'}, u'value': u'8769.3'}",node_cpu,COUNTER
11,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'iowait', u'cpu': u'cpu1'}, u'value': u'1.45'}",node_cpu,COUNTER
12,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'irq', u'cpu': u'cpu1'}, u'value': u'1.22'}",node_cpu,COUNTER
13,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'nice', u'cpu': u'cpu1'}, u'value': u'0'}",node_cpu,COUNTER
14,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'softirq', u'cpu': u'cpu1'}, u'value': u'0'}",node_cpu,COUNTER
15,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'steal', u'cpu': u'cpu1'}, u'value': u'0'}",node_cpu,COUNTER
16,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'system', u'cpu': u'cpu1'}, u'value': u'15.67'}",node_cpu,COUNTER
17,Seconds the cpus spent in each mode.,"{u'labels': {u'mode': u'user', u'cpu': u'cpu1'}, u'value': u'8'}",node_cpu,COUNTER
0,The number of I/Os currently in progress.,"{u'labels': {u'device': u'sda'}, u'value': u'0'}",node_disk_io_now,GAUGE
1,The number of I/Os currently in progress.,"{u'labels': {u'device': u'sr0'}, u'value': u'0'}",node_disk_io_now,GAUGE
0,"Icmp OutParmProbs from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutParmProbs,GAUGE
0,"Ip InHdrErrors from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_InHdrErrors,GAUGE
0,"Icmp InEchos from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_InEchos,GAUGE
0,"TcpExt TCPDSACKOfoRecv from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPDSACKOfoRecv,GAUGE
0,"Tcp InCsumErrors from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Tcp_InCsumErrors,GAUGE
0,NFS_Unstable from /proc/meminfo.,{u'value': u'0'},node_memory_NFS_Unstable,GAUGE
0,"Icmp OutTimestampReps from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutTimestampReps,GAUGE
0,"Udp OutDatagrams from /proc/net/{netstat,snmp}.",{u'value': u'20'},node_netstat_Udp_OutDatagrams,GAUGE
0,SwapCached from /proc/meminfo.,{u'value': u'0'},node_memory_SwapCached,GAUGE
0,"TcpExt DelayedACKLost from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_DelayedACKLost,GAUGE
0,"Ip FragOKs from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Ip_FragOKs,GAUGE
0,"Udp NoPorts from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Udp_NoPorts,GAUGE
0,"Icmp OutTimestamps from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_Icmp_OutTimestamps,GAUGE
0,WritebackTmp from /proc/meminfo.,{u'value': u'0'},node_memory_WritebackTmp,GAUGE
0,"TcpExt ListenOverflows from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_ListenOverflows,GAUGE
0,Shmem from /proc/meminfo.,{u'value': u'393216'},node_memory_Shmem,GAUGE
0,"TcpExt TCPMinTTLDrop from /proc/net/{netstat,snmp}.",{u'value': u'0'},node_netstat_TcpExt_TCPMinTTLDrop,GAUGE
