Timestamp;cpu.wait_perc
1474387381.0;13.4
1474387411.0;16.6
1474387441.0;13.8
1474387471.0;12.7
1474387500.0;14.6
1474387531.0;14.9
1474387561.0;14.6
1474387591.0;14.3
1474387621.0;15.0
1474387651.0;13.4
1474387681.0;11.7
1474387711.0;14.1
1474387741.0;13.2
1474387771.0;11.6
1474387801.0;11.1
1474387831.0;12.4
1474387861.0;13.2
1474387891.0;16.1
1474387921.0;16.3
1474387951.0;16.1
1474387981.0;14.8
1474388011.0;12.5
1474388041.0;15.0
1474388071.0;12.5
1474388101.0;12.0
1474388131.0;11.4
1474388161.0;14.3
1474388191.0;12.4
1474388221.0;11.3
1474388251.0;12.9
1474388281.0;11.7
1474388311.0;11.7
1474388341.0;11.1
1474388371.0;12.3
1474388401.0;12.9
1474388431.0;13.9
1474388465.0;16.2
1474388491.0;15.9
1474388521.0;16.2
1474388551.0;13.4
1474388581.0;13.2
1474388611.0;12.2
1474388641.0;12.6
1474388671.0;16.3
1474388701.0;16.2
1474388731.0;16.3
1474388761.0;16.7
1474388791.0;13.7
1474388821.0;13.2
1474388851.0;13.9
1474388881.0;16.0
1474388911.0;16.5
1474388941.0;14.3
1474388971.0;13.3
1474389001.0;13.3
1474389031.0;13.1
1474389061.0;14.3
1474389091.0;16.0
1474389121.0;15.6
1474389151.0;13.5
1474389181.0;12.9
1474389211.0;13.9
1474389241.0;14.9
1474389271.0;14.3
1474389301.0;15.6
1474389331.0;14.4
1474389361.0;14.1
1474389391.0;14.8
1474389421.0;13.5
1474389451.0;15.3
1474389481.0;14.9
1474389511.0;15.2
1474389541.0;12.9
1474389571.0;12.3
1474389601.0;11.9
1474389631.0;11.5
1474389661.0;10.7
1474389691.0;11.3
1474389721.0;14.8
1474389751.0;11.1
1474389781.0;11.3
1474389811.0;11.0
1474389841.0;11.5
1474389871.0;12.8
1474389901.0;12.7
1474389931.0;16.7
1474389961.0;17.3
1474389991.0;16.8
1474390021.0;17.4
1474390051.0;17.0
1474390081.0;15.6
1474390111.0;13.0
1474390141.0;14.8
1474390171.0;15.8
1474390201.0;15.2
1474390231.0;14.0
1474390261.0;14.3
1474390291.0;14.1
1474390321.0;14.1
1474390351.0;16.8
1474390381.0;16.4
1474390411.0;17.2
1474390441.0;16.0
1474390471.0;12.3
1474390501.0;13.6
1474390531.0;16.1
1474390561.0;16.1
1474390591.0;16.7
1474390621.0;15.6
1474390651.0;13.2
1474390681.0;13.2
1474390711.0;14.1
1474390741.0;15.1
1474390771.0;16.6
1474390801.0;16.6
1474390831.0;15.2
1474390861.0;12.0
1474390891.0;11.6
1474390921.0;11.1
1474390951.0;12.3
1474390981.0;16.3
1474391011.0;16.6
1474391041.0;16.1
1474391071.0;16.6
1474391101.0;16.4
1474391131.0;16.2
1474391161.0;15.6
1474391191.0;15.1
1474391221.0;15.4
1474391251.0;11.4
1474391281.0;14.0
1474391311.0;14.2
1474391341.0;14.2
1474391371.0;14.3
1474391401.0;14.6
1474391431.0;12.3
1474391461.0;12.0
1474391491.0;12.2
1474391521.0;13.7
1474391551.0;13.4
1474391581.0;14.3
1474391611.0;13.2
1474391641.0;13.4
1474391671.0;12.8
1474391701.0;13.9
1474391731.0;14.1
1474391761.0;14.1
1474391791.0;14.9
1474391821.0;14.2
1474391851.0;14.5
1474391881.0;14.4
1474391911.0;14.0
1474391941.0;13.6
1474391971.0;13.5
1474392001.0;13.8
1474392031.0;14.4
1474392061.0;14.0
1474392091.0;14.0
1474392121.0;13.9
1474392151.0;12.9
1474392181.0;14.4
1474392211.0;15.1
1474392241.0;16.3
1474392271.0;15.7
1474392301.0;16.1
1474392331.0;14.9
1474392361.0;11.9
1474392391.0;12.2
1474392421.0;15.3
1474392451.0;16.3
1474392481.0;16.2
1474392511.0;15.5
1474392541.0;14.2
1474392571.0;13.6
1474392601.0;13.8
1474392631.0;15.4
1474392661.0;16.5
1474392691.0;16.2
1474392721.0;16.2
1474392751.0;10.5
1474392781.0;13.5
1474392811.0;13.9
1474392841.0;15.6
1474392871.0;16.5
1474392901.0;17.6
1474392931.0;13.2
1474392961.0;13.8
1474392991.0;14.0
1474393021.0;14.1
1474393051.0;15.8
1474393081.0;16.2
1474393111.0;16.1
1474393141.0;11.7
1474393171.0;12.1
1474393201.0;12.2
1474393231.0;12.6
1474393261.0;16.0
1474393291.0;16.8
