,load.avg_1_min,cpu.wait_perc,cpu.system_perc,mem.free_mb
2016-09-01T11:51:54.709Z,0.73,13.5,0.4,4895.0
2016-09-01T11:52:24.740Z,1.23,15.9,0.6,4892.0
2016-09-01T11:52:54.713Z,1.4,16.0,0.5,4895.0
2016-09-01T11:53:24.741Z,1.5,18.2,0.6,4893.0
2016-09-01T11:53:54.712Z,1.24,16.0,0.5,4893.0
2016-09-01T11:54:24.743Z,1.17,16.0,0.5,4895.0
2016-09-01T11:54:54.715Z,1.44,15.6,0.5,4896.0
2016-09-01T11:55:24.740Z,1.3,16.3,0.6,4895.0
2016-09-01T11:55:54.717Z,1.58,17.9,0.6,4895.0
2016-09-01T11:56:24.744Z,1.32,13.3,0.7,4895.0
2016-09-01T11:56:54.730Z,1.08,11.7,0.7,4894.0
2016-09-01T11:57:24.719Z,1.0,11.9,0.5,4894.0
2016-09-01T11:57:54.746Z,0.77,11.9,0.5,4894.0
2016-09-01T11:58:24.720Z,0.62,15.2,0.5,4894.0
2016-09-01T11:58:54.739Z,0.83,17.9,0.6,4894.0
2016-09-01T11:59:24.722Z,0.92,17.9,0.6,4894.0
2016-09-01T11:59:54.741Z,1.07,17.9,0.7,4894.0
2016-09-01T12:00:24.723Z,1.19,18.0,0.6,4894.0
2016-09-01T12:00:54.746Z,1.1,17.9,0.6,4894.0
2016-09-01T12:01:24.736Z,1.09,18.2,0.6,4893.0
2016-09-01T12:01:54.725Z,1.45,18.1,0.5,4893.0
2016-09-01T12:02:24.755Z,1.51,17.8,0.6,4894.0
2016-09-01T12:02:54.726Z,1.7,17.8,0.6,4894.0
2016-09-01T12:03:24.756Z,1.76,17.8,0.5,4894.0
2016-09-01T12:03:54.728Z,1.59,17.3,0.6,4894.0
2016-09-01T12:04:24.755Z,1.56,17.9,0.7,4894.0
2016-09-01T12:04:54.731Z,1.48,18.1,0.7,4894.0
2016-09-01T12:05:24.780Z,1.57,18.3,0.6,4893.0
2016-09-01T12:05:54.733Z,1.24,13.5,0.6,4893.0
2016-09-01T12:06:24.765Z,1.47,15.5,0.7,4895.0
2016-09-01T12:06:54.735Z,1.39,18.1,0.7,4894.0
2016-09-01T12:07:24.767Z,1.36,13.3,0.5,4894.0
2016-09-01T12:07:54.736Z,0.82,11.1,0.7,4894.0
2016-09-01T12:08:24.767Z,0.75,12.1,0.6,4894.0
2016-09-01T12:08:54.740Z,0.9,13.4,0.7,4895.0
2016-09-01T12:09:24.764Z,0.6,15.7,0.6,4894.0
2016-09-01T12:09:54.741Z,0.8,17.7,0.6,4894.0
2016-09-01T12:10:24.771Z,0.83,18.3,0.5,4895.0
2016-09-01T12:10:54.744Z,0.89,18.0,0.5,4894.0
2016-09-01T12:11:24.773Z,1.03,18.3,0.7,4893.0
2016-09-01T12:11:54.746Z,1.09,13.2,0.7,4894.0
2016-09-01T12:12:24.775Z,1.4,17.5,0.6,4893.0
2016-09-01T12:12:54.745Z,1.64,18.1,0.6,4893.0
2016-09-01T12:13:24.775Z,1.78,18.3,0.6,4893.0
2016-09-01T12:13:54.748Z,1.87,17.2,0.5,4893.0
2016-09-01T12:14:24.775Z,1.77,17.9,0.6,4892.0
2016-09-01T12:14:54.749Z,1.94,16.0,0.6,4892.0
2016-09-01T12:15:24.780Z,2.1,18.6,0.6,4893.0
2016-09-01T12:15:54.751Z,1.86,17.6,0.7,4893.0
2016-09-01T12:16:24.779Z,1.92,17.5,0.6,4893.0
2016-09-01T12:16:54.752Z,2.0,18.0,0.7,4893.0
2016-09-01T12:17:24.795Z,1.84,17.1,0.7,4892.0
2016-09-01T12:17:54.754Z,1.74,17.8,0.6,4892.0
2016-09-01T12:18:24.783Z,1.79,18.5,0.6,4892.0
2016-09-01T12:18:54.755Z,1.63,18.1,0.6,4893.0
2016-09-01T12:19:24.786Z,1.39,18.1,0.6,4893.0
2016-09-01T12:19:54.757Z,1.1,13.6,0.5,4893.0
2016-09-01T12:20:24.787Z,1.2,14.6,0.6,4893.0
2016-09-01T12:20:54.759Z,1.4,18.5,0.6,4893.0
2016-09-01T12:21:24.778Z,1.13,18.6,0.6,4894.0
2016-09-01T12:21:54.760Z,1.39,17.7,0.6,4894.0
2016-09-01T12:22:24.787Z,1.47,18.1,0.7,4893.0
2016-09-01T12:22:54.762Z,1.68,18.3,0.5,4893.0
2016-09-01T12:23:24.791Z,1.81,18.1,0.5,4893.0
